section,drone_id,x_m,y_m,error_m
initial_position,0,0.0,0.0,
initial_position,1,100.0,0.0,
initial_position,2,74.96229729000632,63.124115716615876,
initial_position,3,19.044201170560154,110.36901015128855,
initial_position,4,-52.10273288589687,91.16087552135994,
initial_position,5,-92.00770214648452,33.74289178069639,
initial_position,6,-105.2722906898315,-38.23277145219291,
initial_position,7,-52.38886563516721,-90.99674036722632,
initial_position,8,17.30380046043861,-96.46024305186735,
initial_position,9,86.14777204829525,-71.57207116686621,
target_position,0,0.0,0.0,
target_position,1,100.0,0.0,
target_position,2,76.60444431189781,64.27876096865393,
target_position,3,17.36481776669304,98.4807753012208,
target_position,4,-49.999999999999986,86.60254037844388,
target_position,5,-93.96926207859083,34.20201433256689,
target_position,6,-93.96926207859084,-34.20201433256687,
target_position,7,-50.00000000000004,-86.60254037844383,
target_position,8,17.364817766692997,-98.48077530122082,
target_position,9,76.60444431189778,-64.27876096865396,
final_position,0,0.0,0.0,
final_position,1,100.0,0.0,
final_position,2,76.60444407460372,64.27876110565573,
final_position,3,17.36481831161426,98.48077561583119,
final_position,4,-50.00000000000772,86.6025403786501,
final_position,5,-93.96926207965474,34.20201433318153,
final_position,6,-93.9692627673997,-34.20201473025081,
final_position,7,-50.000000000001066,-86.60254037867294,
final_position,8,17.364817771824047,-98.48077530418233,
final_position,9,76.60444566458513,-64.2787601876794,
final_position_error,1,,,0.0
final_position_error,2,,,2.740036114318327e-07
final_position_error,3,,,6.292208151256022e-07
final_position_error,4,,,2.0637277020664677e-10
final_position_error,5,,,1.2286933949548359e-09
final_position_error,6,,,7.953679359364643e-07
final_position_error,7,,,2.2910968444443636e-10
final_position_error,8,,,5.924375998208829e-09
final_position_error,9,,,1.5619488872821338e-06
