slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,5.0,0.020946557894922713,0.05398154975275817
1,3,1-4,adjust,-3.454165141313197,0.03277934722511064,0.102937399049833
1,6,1-5,adjust,-0.5151147499989328,0.003463527135390893,0.0848932455452362
1,7,1-5,adjust,-4.314577246093499,0.01966107535023835,0.04703132917187663
1,8,1-5,adjust,3.6850088565481727,0.010074478397233834,0.02089424962593059
1,9,1-5,adjust,5.0,0.00565857230737333,0.0017678050232756105
2,2,1-7,adjust,5.0,-0.0037779164519926526,0.003072087590422733
2,3,1-7,adjust,2.087087002390369,-0.026393261254828132,0.0060902267737261056
2,4,1-7,adjust,3.775076181047318,0.003464628147705119,0.008633979260179834
2,5,1-7,adjust,-2.884316358998871,0.002666507772891465,0.01286221079474784
2,6,1-7,adjust,-1.438751973516356,-0.0010539588706648206,0.017838506461734193
2,9,1-8,adjust,5.0,0.01637070296034453,0.01486201978310187
3,2,1-4,adjust,1.8959934715105016,-0.019571872169421863,0.009319060131150135
3,3,1-4,adjust,0.6643818361069398,-0.00699114643185196,0.016278030521620898
3,6,1-5,adjust,-1.195922385408183,-0.0027369885129878307,0.013181733538544817
3,7,1-5,adjust,-1.878022211558478,-0.009894696237532216,0.0075567143141666215
3,8,1-5,adjust,-0.8164366137641996,-0.00874498573177496,0.002465736915826574
3,9,1-5,adjust,0.011061947807400763,-0.01768270743298773,9.635374766616523e-05
4,2,1-7,adjust,-0.20337318864646176,0.005855561721674802,6.331243912996092e-05
4,3,1-7,adjust,-0.14539697202661372,0.0026925100362400287,0.0006195816160458995
4,4,1-7,adjust,0.07078298149810887,-0.00018517003649598518,0.0016580366570202512
4,5,1-7,adjust,-0.9005347767078609,0.0022277269329135808,0.002689422361928672
4,6,1-7,adjust,-0.5042780297075257,-0.0010352400161012082,0.004969000683543125
4,9,1-8,adjust,0.19509369583654856,0.004880427562010716,0.005272813825962431
