round,drone_id,role,before_x_m,before_y_m,estimate_x_m,estimate_y_m,delta_x_m,delta_y_m,travel_m,after_x_m,after_y_m,error_after_m
1,0,transmitter_hold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,transmitter_hold,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2,transmitter_hold,74.96229729000632,63.124115716615876,74.96229729000632,63.12411571661587,0.0,0.0,0.0,74.96229729000632,63.124115716615876,2.0074492520512446
1,3,receiver_move,19.044201170560154,110.36901015128855,19.044201170560143,110.36901015128853,-1.679383403867103,-11.888234850067732,12.006267382810913,17.36481776669305,98.48077530122082,1.7763568394002505e-14
1,4,receiver_move,-52.10273288589687,91.16087552135994,-52.10273288589686,91.16087552135993,2.1027328858968772,-4.55833514291605,5.019950683480436,-49.99999999999999,86.60254037844389,1.5888218580782548e-14
1,5,receiver_move,-92.00770214648452,33.74289178069639,-92.00770214648452,33.7428917806964,-1.9615599321063115,0.4591225518704931,2.0145746163597393,-93.96926207859083,34.20201433256688,7.105427357601002e-15
1,6,receiver_move,-105.2722906898315,-38.23277145219291,-105.27229068983151,-38.2327714521929,11.303028611240663,4.030757119626031,12.00022744550873,-93.96926207859083,-34.202014332566876,1.5888218580782548e-14
1,7,receiver_move,-52.38886563516721,-90.99674036722632,-52.3888656351672,-90.99674036722634,2.388865635167157,4.394199988782503,5.001567010877565,-50.00000000000005,-86.60254037844382,1.5888218580782548e-14
1,8,transmitter_hold,17.30380046043861,-96.46024305186735,17.303800460438616,-96.46024305186737,0.0,0.0,0.0,17.30380046043861,-96.46024305186735,2.021453358932606
1,9,receiver_move,86.14777204829525,-71.57207116686621,86.14777204829525,-71.57207116686621,-9.543327736397472,7.293310198212254,12.01113974324003,76.60444431189778,-64.27876096865396,0.0
2,0,transmitter_hold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,transmitter_hold,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,2,receiver_move,74.96229729000632,63.124115716615876,74.9622972900063,63.12411571661586,1.6421470218915033,1.1546452520380655,2.0074492520512646,76.60444431189782,64.27876096865394,2.0097183471152322e-14
2,3,transmitter_hold,17.36481776669305,98.48077530122082,17.36481776669302,98.4807753012208,0.0,0.0,0.0,17.36481776669305,98.48077530122082,1.7763568394002505e-14
2,4,receiver_move,-49.99999999999999,86.60254037844389,-50.00000000000001,86.60254037844388,2.1316282072803006e-14,0.0,2.1316282072803006e-14,-49.99999999999997,86.60254037844389,2.0097183471152322e-14
2,5,receiver_move,-93.96926207859083,34.20201433256688,-93.96926207859086,34.20201433256689,2.842170943040401e-14,0.0,2.842170943040401e-14,-93.9692620785908,34.20201433256688,2.929642751054232e-14
2,6,receiver_move,-93.96926207859083,-34.202014332566876,-93.9692620785909,-34.202014332566904,5.684341886080802e-14,3.552713678800501e-14,6.703246762680666e-14,-93.96926207859077,-34.20201433256684,7.652779469160725e-14
2,7,receiver_move,-50.00000000000005,-86.60254037844382,-50.000000000000064,-86.60254037844388,2.1316282072803006e-14,4.263256414560601e-14,4.7664655742347644e-14,-50.00000000000003,-86.60254037844378,5.859285502108464e-14
2,8,receiver_move,17.30380046043861,-96.46024305186735,17.303800460438595,-96.46024305186738,0.061017306254402826,-2.020532249353437,2.021453358932578,17.36481776669301,-98.48077530122079,3.1776437161565096e-14
2,9,transmitter_hold,76.60444431189778,-64.27876096865396,76.60444431189778,-64.27876096865397,0.0,0.0,0.0,76.60444431189778,-64.27876096865396,0.0
