slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,0.1680966519002849,-0.03490658503988659,0.09980838648532722
1,3,1-4,adjust,-1.9612801800874178,-0.03490658503988659,0.17058426707202248
1,6,1-5,adjust,-5.0,-0.007856960380375136,0.1276562033846086
1,7,1-5,adjust,-5.0,-0.01236011774650932,0.06456437485393215
1,8,1-5,adjust,-5.0,-0.01237727094477174,0.022920116970678868
1,9,1-5,adjust,5.0,0.0010364763269550476,0.01418253000995023
2,2,1-7,adjust,-2.7721085287817933,0.03490658503988659,0.01789046560947233
2,3,1-7,adjust,-5.0,0.01758990876898328,0.014021618712986125
2,4,1-7,adjust,-4.8017807593271415,-0.02368650543310994,0.010246080638807307
2,5,1-7,adjust,5.0,-0.014749416387140325,0.005932446919600072
2,6,1-7,adjust,5.0,0.01848932278370363,0.001258226056313596
2,9,1-8,adjust,5.0,0.03490658503988659,0.015593437473463149
3,2,1-4,adjust,2.0785720880561604,-0.03490658503988659,0.04055614028345486
3,3,1-4,adjust,1.9599570358208818,-0.02367032688307709,0.05185137041165103
3,6,1-5,adjust,-3.542258001568524,-0.010393896826129671,0.00933535217738135
3,7,1-5,adjust,-5.0,0.01668508242477883,0.004635400234414024
3,8,1-5,adjust,-5.0,0.01126450837770069,0.01455149122827828
3,9,1-5,adjust,0.25022064990854076,-0.03490658503988659,0.024138348973263436
4,2,1-7,adjust,-2.3261586103498137,0.03490658503988659,0.003183485834088851
4,3,1-7,adjust,-3.841295051133567,0.03490658503988659,0.0004308253148742289
4,4,1-7,adjust,-4.119275892460897,0.022853645282559912,0.002127450604164929
4,5,1-7,adjust,-0.5201913571081055,0.009015250428771574,0.0047271834588268995
4,6,1-7,adjust,0.2960710353421903,0.0004528820004047762,0.008901750455008805
4,9,1-8,adjust,0.4734184538900971,0.0070866627038402505,0.012712727411996763
5,2,1-4,adjust,0.4483279041203807,-0.0013058156669180773,0.0007035118972230068
5,3,1-4,adjust,0.4998774524772527,0.004923107603139158,0.004447273840899864
5,6,1-5,adjust,-0.5531233053525646,-0.0010473746168578758,0.0092125585192041
5,7,1-5,adjust,-0.9281577120639032,0.000644692753318776,0.006677985410345777
5,8,1-5,adjust,-0.15227647200924363,0.003908166252490503,0.004994634353232021
5,9,1-5,adjust,-0.19665266437986648,-0.0052375204981133005,0.0033980122639327088
6,2,1-7,adjust,-0.42878168052437227,0.011917662796691262,0.0003596511592871393
6,3,1-7,adjust,-0.6363334403686894,0.0075896846672884755,0.001480446142803029
6,4,1-7,adjust,-0.5279473668283664,0.00297229512392029,0.002436163997318892
6,5,1-7,adjust,-0.860596477045488,0.0013769396339752468,0.0033663632006370216
