slot,epoch,receiver_id,transmitters,selected_pair,status,estimated_radial_bias_m,estimated_angular_bias_deg,local_consistency_rad,radial_step_m,angular_step_deg,before_x_m,before_y_m,after_x_m,after_y_m
1,1,4,0-1-2-3,1-3,adjust,-10.557245452733289,4.715237352392185,0.10075224426423825,5.0,-2.0,-52.10273288589687,91.16087552135994,-51.21759723576226,97.34864012093462
1,1,5,0-1-2-3,1-3,adjust,-14.808736446098012,1.1735014116724403,0.056666542931507455,5.0,-0.5867507058362201,-92.00770214648452,33.74289178069639,-96.33372626270175,36.452889931291445
1,1,6,0-1-2-3,1-3,adjust,2.172591665978081,-0.9749939962943802,0.02968043794304119,-1.0862958329890404,0.4874969981471901,-105.2722906898315,-38.23277145219291,-103.92533208430636,-38.74758215958595
1,1,7,0-1-2-3,1-3,adjust,1.756481096783812,-0.9811731086101038,0.006387869398530967,-0.878240548391906,0.4905865543050519,-52.38886563516721,-90.99674036722632,-51.176150942536864,-90.67713254181136
1,1,8,0-1-2-3,1-3,adjust,-0.4211523182917623,1.2588454736681873,0.02013347673262141,0.21057615914588115,-0.6294227368340937,17.30380046043861,-96.46024305186735,16.278015913644257,-96.85217327157164
1,1,9,0-1-2-3,1-3,adjust,13.31170654332115,4.587272510629778,0.06486072108002261,-5.0,-2.0,86.14777204829525,-71.57207116686621,79.86543425350487,-71.2075305813865
2,1,3,0-1-2-4,2-4,adjust,6.115721665461053,14.166947573969756,0.14249972095818506,-3.0578608327305266,-2.0,19.044201170560154,110.36901015128855,22.25962482472022,106.6437939544698
2,1,5,0-1-2-4,1-4,adjust,-5.293845478369174,0.1286960657199426,0.03796467257819837,2.646922739184587,-0.0643480328599713,-96.33372626270175,36.452889931291445,-98.76728315800786,37.50061415290605
2,1,6,0-1-2-4,1-4,adjust,5.041374046843202,-0.12835931788426996,0.018177359271134355,-2.520687023421601,0.06417965894213498,-103.92533208430636,-38.74758215958595,-101.52098645131655,-37.980725051558146
2,1,7,0-1-2-4,1-4,adjust,2.8924886402853653,0.1557055615757333,0.00047065409705777787,-1.4462443201426827,-0.07785278078786664,-51.176150942536864,-90.67713254181136,-50.58677053140328,-89.3489790356607
2,1,8,0-1-2-4,1-4,adjust,-0.016040790430007515,0.7523323112810243,0.020969751019584915,0.008020395215003757,-0.37616615564051215,16.278015913644257,-96.85217327157164,15.643079805445176,-96.96487386321287
2,1,9,0-1-2-4,1-4,adjust,8.625110831952023,1.726011363511606,0.05335513592744867,-4.3125554159760116,-0.863005681755803,79.86543425350487,-71.2075305813865,75.60854166641818,-69.48424067567053
3,1,3,0-1-2-5,2-5,adjust,8.963064345215118,3.128428130321497,0.06694749576211091,-4.481532172607559,-1.5642140651607486,22.25962482472022,106.6437939544698,24.12731543973139,101.63607166436978
