slot,receiver_id,pair,radial_bias_m,angular_bias_rad,fitted_residual_rad,consistency_rad,geometry_sigma_min,score,success,nfev
1,4,1-2,8.7445801211843,-0.025877659208463754,3.846582529182495e-13,0.3462605427233665,0.0027167665947714793,7.823424376018731e-06,True,5
1,4,1-3,-10.557245452733289,0.08229641681226375,2.482534153247273e-16,0.10075224426423825,0.005105851043008837,5.017924744489724e-05,True,6
1,4,2-3,-26.092471736321013,0.3314776474225239,5.578801654593729e-16,0.16925526260572327,0.0037624365965285506,2.2098797646223673e-05,True,8
1,5,1-2,0.45925631870921013,-0.006855213722536926,1.4155343563970746e-15,0.14229027217659154,0.0022815779239972267,1.5922769140848587e-05,True,4
1,5,1-3,-14.808736446098012,0.020481463410485498,9.554531875709819e-16,0.056666542931507455,0.004615311732486027,8.003447922945186e-05,True,6
1,5,2-3,-26.016937259465724,0.141142613091192,6.661338147750939e-16,0.100434230862871,0.0027167665947714784,2.678352831840641e-05,True,7
1,6,1-2,12.616841402208822,0.00032776235860530636,1.699674944388148e-15,0.06335771117478428,0.002159555653106554,3.35555073927595e-05,True,6
1,6,1-3,2.172591665978081,-0.017016855422514326,3.412280095058282e-13,0.02968043794304119,0.0044682052812328515,0.00014563694591088167,True,4
1,6,2-3,-6.256351137936091,0.031573049023940834,9.036560719766055e-16,0.05597408514955029,0.0022815779239972306,4.004588960065539e-05,True,5
1,7,1-2,3.6434707206604426,-0.006475240753728771,7.216449660063518e-16,0.011998174219326446,0.0022815779239972285,0.00017553064649686298,True,5
1,7,1-3,1.756481096783812,-0.017124701277274234,6.839079677165019e-13,0.006387869398530967,0.004468205281232849,0.0006048029601228907,True,4
1,7,2-3,-0.34964265273520506,-0.013258994931603383,1.0906210770260937e-15,0.013606933128458827,0.002159555653106548,0.00014784456354490082,True,4
1,8,1-2,-4.21065729995995,-0.02295619239024809,7.021666937153402e-16,0.03346593720750881,0.00271676659477148,7.882468358294347e-05,True,5
1,8,1-3,-0.4211523182917623,0.02197099828933745,2.449896740726848e-13,0.02013347673262141,0.004615311732486021,0.00021838866320381044,True,4
1,8,2-3,5.4485843335331445,0.03302119686326264,3.3306690738754696e-16,0.05147985247258561,0.002281577923997222,4.3475311314738765e-05,True,5
1,9,1-2,11.018068768633924,-0.036086822610800706,5.551115123125783e-16,0.08235656273257518,0.003762436596528555,4.5136657189179185e-05,True,6
1,9,1-3,13.31170654332115,0.0800630089967162,3.8459253727671276e-16,0.06486072108002261,0.005105851043008833,7.752497936979891e-05,True,6
1,9,2-3,25.182998082662316,0.15416559459986703,4.965068306494546e-16,0.2620167615069955,0.0027167665947714754,1.032925270315602e-05,True,7
2,3,1-2,14.889075134707035,-0.032396364612986304,6.849500233248632e-16,0.329777637801046,0.0037624365965285584,1.1374519213392426e-05,True,6
2,3,1-4,3.482501446127301,0.10104023583168525,1.709166621382058e-15,0.15686265612373568,0.006879094501123399,4.357645227843777e-05,True,5
2,3,2-4,6.115721665461053,0.24725988012319516,6.280369834735101e-16,0.14249972095818506,0.007071067811865476,4.927582969952912e-05,True,6
2,5,1-2,5.616578118010881,-0.017402925998961025,1.4155343563970746e-15,0.24501220089456036,0.0022815779239972267,9.274247032061227e-06,True,5
2,5,1-4,-5.293845478369174,0.0022461700811760047,6.758924343478424e-16,0.03796467257819837,0.005777158104439241,0.00014826656358641376,True,5
2,5,2-4,-7.869391717802854,0.058897024673760595,6.280369834735101e-16,0.04694485259322168,0.005105851043008836,0.00010649424843013675,True,6
2,6,1-2,11.494017748996647,0.008804537888664275,2.823456833893377e-12,0.06974330662151773,0.002159555653106554,3.0526642819515735e-05,True,5
2,6,1-4,5.041374046843202,-0.0022402927226945527,1.6129309250176456e-15,0.018177359271134355,0.006019996690288535,0.0003139116603686827,True,5
2,6,2-4,2.9433300637369517,0.02270080637576585,4.965068306494546e-16,0.024335517132007094,0.004615311732486032,0.00018216765453961763,True,5
2,7,1-2,2.7540848867514445,0.0019238076003521805,6.661338147750939e-16,0.0013457241781061392,0.0022815779239972285,0.0009726539655823045,True,5
2,7,1-4,2.8924886402853653,0.002717574713163316,7.021666937153402e-16,0.00047065409705777787,0.007071067811865474,0.004808110776022725,True,5
2,7,2-4,2.9665165177756694,0.0022955437426384405,9.226380847435024e-16,0.000718990865466171,0.004468205281232855,0.002599318804420248,True,5
2,8,1-2,-3.9944304468835483,-0.033615242372514516,3.1401849173675503e-16,0.04729709932610035,0.00271676659477148,5.625113376743323e-05,True,5
2,8,1-4,-0.016040790430007515,0.013130675900992752,2.4043442600993574e-15,0.020969751019584915,0.006019996690288538,0.0002740129683273159,True,4
2,8,2-4,3.2435819650419764,0.007600436946727759,1.047382306668854e-15,0.03815084576032485,0.004468205281232853,0.00011412793758240841,True,5
