phase,receiver_id,reference_id,b_rr,b_rt,b_tr,b_tt,operator_norm
1,4,3,-1.2660444431189772,-0.4608024925534379,0.7309511000407724,0.26604444311897857,1.5557238268604119
1,5,3,-1.1736481776669296,-0.9848077530122074,0.2069458395819999,0.1736481776669287,1.555723826860411
1,6,3,-0.766044443118979,-1.3268278963378783,-0.1350743037436661,-0.23395555688102046,1.5557238268604137
1,7,3,-0.23395555688102349,-1.32682789633788,-0.1350743037436683,-0.7660444431189811,1.555723826860417
1,8,3,0.17364817766693028,-0.9848077530122087,0.20694583958200138,-1.1736481776669307,1.5557238268604132
1,9,3,0.266044443118978,-0.4608024925534383,0.7309511000407712,-1.266044443118978,1.5557238268604123
2,3,2,-0.5000000000000001,-0.18198511713310123,-1.373738709727311,-0.5000000000000001,1.555723826860412
2,3,4,-0.5000000000000003,0.18198511713310123,1.3737387097273106,-0.4999999999999999,1.5557238268604117
2,5,4,-1.0685790213016284,-0.38893095671510325,0.18841931247452173,0.06857902130162849,1.154700538379251
2,6,4,-0.8711135994842797,-0.730951100040772,-0.15360083085114523,-0.12888640051571976,1.1547005383792517
2,7,4,-0.5000000000000006,-0.8660254037844393,-0.28867513459481275,-0.49999999999999967,1.1547005383792524
2,8,4,-0.12888640051572062,-0.7309511000407727,-0.15360083085114629,-0.8711135994842806,1.1547005383792528
2,9,4,0.06857902130162884,-0.388930956715103,0.1884193124745227,-1.068579021301627,1.1547005383792497
3,3,5,-0.4999999999999999,0.4195498155886399,0.5958767962971052,-0.5000000000000003,1.0154266118857451
3,4,2,-0.3025345781826508,-0.2538566529714363,-0.8312069221610621,-0.6974654218173494,1.1547005383792517
3,4,5,-0.6974654218173495,0.25385665297143634,0.8312069221610614,-0.30253457818265056,1.1547005383792512
3,6,5,-0.939692620785908,-0.34202014332566855,-0.16569316261720443,-0.06030737921409178,1.0154266118857447
3,7,5,-0.6736481776669302,-0.5652579374235678,-0.3889309567151032,-0.32635182233306953,1.0154266118857451
3,8,2,-0.49999999999999956,0.8660254037844388,0.28867513459481225,-0.49999999999999944,1.154700538379251
3,8,5,-0.5,-0.8660254037844387,-0.28867513459481303,-0.5000000000000003,1.1547005383792517
3,9,5,-0.06030737921409172,-0.34202014332566916,-0.16569316261720402,-0.9396926207859092,1.0154266118857462
4,3,6,-0.32635182233306964,0.5652579374235679,0.38893095671510347,-0.6736481776669306,1.0154266118857451
4,4,2,-0.4999999999999999,-0.4195498155886399,-0.5958767962971048,-0.49999999999999983,1.0154266118857447
4,4,6,-0.4999999999999997,0.4195498155886398,0.5958767962971051,-0.5000000000000001,1.015426611885745
4,5,2,-0.17364817766693055,-0.3007674663608708,-0.47709444706933596,-0.8263518223330699,1.0154266118857453
4,5,6,-0.8263518223330704,0.300767466360871,0.47709444706933474,-0.17364817766693022,1.0154266118857453
4,7,6,-0.82635182233307,-0.30076746636087076,-0.4770944470693342,-0.17364817766692991,1.0154266118857447
4,8,6,-0.5000000000000001,-0.41954981558864,-0.5958767962971049,-0.4999999999999999,1.0154266118857447
4,9,2,-0.6736481776669301,0.5652579374235681,0.3889309567151032,-0.32635182233307003,1.0154266118857451
4,9,6,-0.3263518223330698,-0.5652579374235683,-0.3889309567151028,-0.67364817766693,1.015426611885745
5,3,2,-0.9396926207859088,-0.34202014332566893,-0.16569316261720327,-0.060307379214091524,1.0154266118857453
5,3,7,-0.06030737921409185,0.34202014332566905,0.16569316261720457,-0.9396926207859088,1.0154266118857453
5,4,7,-0.5000000000000001,0.8660254037844384,0.2886751345948129,-0.4999999999999998,1.1547005383792515
5,5,2,-0.3263518223330695,-0.5652579374235676,-0.3889309567151032,-0.6736481776669302,1.0154266118857447
5,5,7,-0.67364817766693,0.5652579374235676,0.38893095671510364,-0.32635182233306986,1.0154266118857447
5,6,2,-0.06030737921409162,-0.3420201433256684,-0.16569316261720415,-0.9396926207859081,1.0154266118857442
5,6,7,-0.939692620785909,0.34202014332566866,0.165693162617202,-0.060307379214091204,1.0154266118857453
5,8,7,-0.6974654218173499,-0.2538566529714364,-0.8312069221610613,-0.30253457818265034,1.1547005383792515
5,9,2,-0.49999999999999983,0.4195498155886401,0.5958767962971045,-0.49999999999999994,1.0154266118857447
5,9,7,-0.5000000000000001,-0.4195498155886401,-0.595876796297105,-0.49999999999999994,1.0154266118857451
6,3,2,-1.0685790213016286,-0.3889309567151031,0.18841931247452232,0.06857902130162873,1.1547005383792512
6,3,8,0.0685790213016288,0.3889309567151034,-0.1884193124745225,-1.0685790213016295,1.1547005383792521
6,4,2,-0.87111359948428,-0.7309511000407721,-0.1536008308511448,-0.12888640051571948,1.154700538379252
6,4,8,-0.1288864005157206,0.7309511000407725,0.15360083085114642,-0.8711135994842807,1.1547005383792528
6,5,2,-0.5,-0.8660254037844385,-0.28867513459481314,-0.5000000000000001,1.1547005383792512
6,5,8,-0.49999999999999994,0.8660254037844385,0.2886751345948128,-0.5,1.154700538379251
6,6,2,-0.12888640051572067,-0.7309511000407721,-0.15360083085114667,-0.8711135994842807,1.1547005383792524
6,6,8,-0.8711135994842802,0.7309511000407725,0.1536008308511438,-0.12888640051571854,1.154700538379252
6,7,2,0.06857902130162871,-0.388930956715103,0.18841931247452195,-1.068579021301627,1.1547005383792497
6,7,8,-1.0685790213016289,0.3889309567151033,-0.18841931247451896,0.06857902130162762,1.1547005383792508
6,9,8,-0.5,-0.18198511713310134,-1.3737387097273108,-0.5,1.5557238268604119
7,3,2,-1.2660444431189777,-0.46080249255343825,0.7309511000407714,0.26604444311897807,1.5557238268604117
