slot,drone_id,x_m,y_m
0,0,0.0,0.0
0,1,100.0,0.0
0,2,74.96229729000632,63.124115716615876
0,3,19.044201170560154,110.36901015128855
0,4,-52.10273288589687,91.16087552135994
0,5,-92.00770214648452,33.74289178069639
0,6,-105.2722906898315,-38.23277145219291
0,7,-52.38886563516721,-90.99674036722632
0,8,17.30380046043861,-96.46024305186735
0,9,86.14777204829525,-71.57207116686621
1,0,0.0,0.0
1,1,100.0,0.0
1,2,74.96229729000632,63.124115716615876
1,3,19.044201170560154,110.36901015128855
1,4,-51.21759723576226,97.34864012093462
1,5,-96.33372626270175,36.452889931291445
1,6,-103.92533208430636,-38.74758215958595
1,7,-51.176150942536864,-90.67713254181136
1,8,16.278015913644257,-96.85217327157164
1,9,79.86543425350487,-71.2075305813865
2,0,0.0,0.0
2,1,100.0,0.0
2,2,74.96229729000632,63.124115716615876
2,3,22.25962482472022,106.6437939544698
2,4,-51.21759723576226,97.34864012093462
2,5,-98.76728315800786,37.50061415290605
2,6,-101.52098645131655,-37.980725051558146
2,7,-50.58677053140328,-89.3489790356607
2,8,15.643079805445176,-96.96487386321287
2,9,75.60854166641818,-69.48424067567053
3,0,0.0,0.0
3,1,100.0,0.0
3,2,74.96229729000632,63.124115716615876
3,3,24.12731543973139,101.63607166436978
3,4,-48.13356017279116,95.58829396248937
3,5,-98.76728315800786,37.50061415290605
3,6,-99.95246373053493,-37.38363825093307
3,7,-50.272574744110464,-89.65651337421838
3,8,17.147912132442947,-98.11910250051717
3,9,76.01047789552258,-66.95124199971994
4,0,0.0,0.0
4,1,100.0,0.0
4,2,74.96229729000632,63.124115716615876
4,3,22.231671829623302,99.16086060901742
4,4,-47.371661323201224,93.03930497341852
4,5,-97.96413896090141,38.578103935667556
4,6,-99.95246373053493,-37.38363825093307
4,7,-50.06598964543027,-91.34855596327559
4,8,19.634187976458286,-99.67271743060341
4,9,78.15226396555872,-64.59166843124417
5,0,0.0,0.0
5,1,100.0,0.0
5,2,74.96229729000632,63.124115716615876
5,3,18.915737933848913,97.80290723394201
5,4,-48.08348770398249,89.38704611225178
5,5,-96.1223218278251,37.29590745691104
5,6,-98.64792357761476,-35.99000318687842
5,7,-50.06598964543027,-91.34855596327559
5,8,20.82431560515496,-100.34388875331106
5,9,79.66419230785678,-63.06697474958091
6,0,0.0,0.0
6,1,100.0,0.0
6,2,74.96229729000632,63.124115716615876
6,3,15.82885307890165,96.8818974940626
6,4,-49.089859375658094,85.90352567860867
6,5,-93.99945023066405,35.15616565720589
6,6,-96.27279846831502,-34.9904816425866
6,7,-50.1001815209145,-89.97928387014431
6,8,20.82431560515496,-100.34388875331106
6,9,80.383098215467,-62.26587524949884
7,0,0.0,0.0
7,1,100.0,0.0
7,2,74.96229729000632,63.124115716615876
7,3,12.57556549199397,96.03315009892236
7,4,-50.254129188506,82.16384315361194
7,5,-91.45264137136323,32.35669761038198
7,6,-92.99024683542548,-34.11861910296904
7,7,-49.59943026346098,-87.7954308252408
7,8,20.170263701249763,-99.73284756911565
7,9,80.383098215467,-62.26587524949884
8,0,0.0,0.0
8,1,100.0,0.0
8,2,72.76773040903782,65.38124840221411
8,3,12.57556549199397,96.03315009892236
8,4,-50.254129188506,82.16384315361194
8,5,-91.38907920574623,32.52863540529501
8,6,-92.83185103295219,-33.785800525685254
8,7,-49.80031687234553,-87.35605764389263
8,8,19.697702833669503,-99.61941360392262
8,9,80.03147330982476,-62.29610837283324
9,0,0.0,0.0
9,1,100.0,0.0
9,2,71.65820517760845,66.40843349694553
9,3,12.57556549199397,96.03315009892236
9,4,-50.528083240518576,82.77235543768342
9,5,-91.38907920574623,32.52863540529501
9,6,-92.23679421718535,-33.32555479230574
9,7,-49.903773009393404,-86.00557204019722
9,8,18.119324161920833,-98.83682114364545
9,9,78.41488981205022,-63.24820448975942
10,0,0.0,0.0
10,1,100.0,0.0
10,2,71.10785505907072,66.87758530760189
10,3,12.57556549199397,96.03315009892236
10,4,-49.95843297012293,83.96644190532606
10,5,-92.48402424382559,32.29404508466695
10,6,-92.23679421718535,-33.32555479230574
10,7,-49.94668142845748,-85.3277530012923
10,8,17.008689880457094,-98.24409510910965
10,9,77.0046979485573,-64.08270522930749
11,0,0.0,0.0
11,1,100.0,0.0
11,2,70.83764739763468,67.09142103983451
11,3,12.57556549199397,96.03315009892236
11,4,-49.35032422055178,84.89235428725115
11,5,-93.3118415740769,32.918779001969256
11,6,-92.71070356087283,-34.92211038034327
11,7,-49.94668142845748,-85.3277530012923
11,8,16.55066089774867,-97.99137723120622
11,9,76.17699289817955,-64.55058393501848
12,0,0.0,0.0
12,1,100.0,0.0
12,2,70.70585097032837,67.18827550493094
12,3,12.57556549199397,96.03315009892236
12,4,-48.975339529429746,85.37578397513536
12,5,-93.87057623771203,33.67177522195739
12,6,-93.70062782708304,-35.607517896134276
12,7,-48.6882450866367,-87.30811347928834
12,8,16.55066089774867,-97.99137723120622
12,9,75.82776329003916,-64.73658279072477
13,0,0.0,0.0
13,1,100.0,0.0
13,2,70.6418913318512,67.23172112469351
13,3,12.57556549199397,96.03315009892236
13,4,-48.84528095768883,85.51557941822529
13,5,-94.2522093486044,34.391104239953016
13,6,-94.9517561766102,-35.82283688212976
13,7,-48.684116575959735,-89.11631005405837
13,8,19.723327407809112,-98.7985454898452
13,9,75.82776329003916,-64.73658279072477
14,0,0.0,0.0
14,1,100.0,0.0
14,2,73.17851856006462,66.02792991619361
14,3,14.3528016684933,96.9026337511278
14,4,-48.84528095768883,85.51557941822529
14,5,-94.2522093486044,34.391104239953016
14,6,-94.58909641266317,-35.083409318271165
14,7,-49.35088023192682,-87.96359599152701
14,8,18.58231311909438,-98.66910522259411
14,9,76.20714680770091,-64.51392875900797
15,0,0.0,0.0
15,1,100.0,0.0
15,2,74.44536232404553,65.40360619586517
15,3,15.235842860412474,97.32142890214263
15,4,-48.84528095768883,85.51557941822529
15,5,-93.2846305077403,35.76711096922854
15,6,-94.58909641266317,-35.083409318271165
15,7,-49.670948807388186,-87.81337469993844
15,8,18.446943817458955,-98.84212461331892
15,9,76.83446746649803,-64.15352872279053
16,0,0.0,0.0
16,1,100.0,0.0
16,2,75.07951375736013,65.08867786638639
16,3,15.671474015665277,97.52626812275008
16,4,-48.84528095768883,85.51557941822529
16,5,-92.81249847121325,35.4915678024946
16,6,-94.56438819662479,-33.62255560635721
16,7,-49.670948807388186,-87.81337469993844
